P,V,A
-58.59,-0.34,-0.11
-58.53,-0.28,-0.08
-58.33,-0.12,-0.01
-58.58,-0.29,-0.08
-58.58,-0.28,-0.07
-58.58,-0.27,-0.07
-58.64,-0.30,-0.08
-58.65,-0.29,-0.07
-58.66,-0.28,-0.06
-58.53,-0.17,-0.01
-58.29,0.02,0.08
-58.32,0.01,0.07
-58.40,-0.05,0.04
-58.63,-0.21,-0.04
-58.53,-0.13,0.00
-58.58,-0.15,-0.01
-58.60,-0.16,-0.01
-58.63,-0.16,-0.01
-58.76,-0.25,-0.05
-58.84,-0.30,-0.07
-58.77,-0.23,-0.04
-58.80,-0.23,-0.04
-58.79,-0.21,-0.02
-58.85,-0.25,-0.04
-58.63,-0.06,0.04
-58.53,0.02,0.08
-58.43,0.10,0.11
-58.63,-0.05,0.04
-58.55,0.02,0.07
-58.62,-0.02,0.05
-58.64,-0.04,0.04
-58.64,-0.03,0.04
-58.75,-0.10,0.01
-58.75,-0.09,0.01
-58.67,-0.03,0.04
-58.70,-0.05,0.03
-58.68,-0.02,0.04
-58.57,0.07,0.07
-58.51,0.11,0.09
-58.41,0.19,0.12
-58.67,-0.01,0.03
-58.61,0.04,0.05
-58.38,0.21,0.12
-58.26,0.30,0.15
-58.22,0.32,0.16
-58.01,0.47,0.22
-57.73,0.66,0.29
-57.38,0.89,0.38
-57.06,1.10,0.45
-56.99,1.11,0.44
-56.99,1.07,0.40
-56.86,1.12,0.40
-56.74,1.17,0.40
-56.77,1.09,0.35
-56.79,1.02,0.31
-56.51,1.19,0.36
-56.49,1.14,0.33
-56.61,1.00,0.25
-56.81,0.80,0.15
-57.07,0.56,0.03
-57.05,0.53,0.02
-56.94,0.58,0.04
-57.26,0.30,-0.09
-57.72,-0.07,-0.25
-58.04,-0.33,-0.35
-58.23,-0.48,-0.40
-58.29,-0.53,-0.40
-58.54,-0.72,-0.47
-58.72,-0.84,-0.50
-58.84,-0.91,-0.51
-59.12,-1.10,-0.57
-59.06,-1.02,-0.51
-59.00,-0.95,-0.45
-58.97,-0.90,-0.41
-58.80,-0.75,-0.32
-58.67,-0.62,-0.25
-58.67,-0.60,-0.23
-58.94,-0.78,-0.30
-58.89,-0.71,-0.25
-58.81,-0.62,-0.20
-58.89,-0.65,-0.21
-58.83,-0.58,-0.16
-58.53,-0.33,-0.05
-58.50,-0.29,-0.02
-58.51,-0.27,-0.02
-58.37,-0.14,0.04
-58.28,-0.07,0.07
-58.30,-0.07,0.07
-58.23,-0.01,0.09
-58.21,0.02,0.10
-57.87,0.28,0.21
-57.76,0.36,0.24
-57.64,0.45,0.26
-57.70,0.40,0.23
-58.35,-0.09,0.00
-58.85,-0.46,-0.16
-58.96,-0.52,-0.18
-59.26,-0.72,-0.26
-59.59,-0.94,-0.34
-58.41,-0.02,0.08
-56.88,1.12,0.58
-56.01,1.74,0.82
-56.58,1.27,0.58
-55.98,1.67,0.73
-55.50,1.97,0.83
-56.22,1.36,0.52
-56.96,0.76,0.23
-57.73,0.15,-0.05
-58.18,-0.19,-0.20
-58.87,-0.71,-0.42
-59.35,-1.06,-0.55
-59.55,-1.18,-0.58
-60.04,-1.51,-0.70
-60.44,-1.76,-0.78
-60.77,-1.94,-0.82
-61.29,-2.26,-0.92
-61.46,-2.30,-0.90
-61.84,-2.50,-0.95
-62.35,-2.77,-1.02
-62.48,-2.75,-0.97
-62.71,-2.81,-0.95
-62.81,-2.76,-0.88
-62.79,-2.62,-0.78
-63.05,-2.69,-0.77
-63.19,-2.66,-0.72
-63.41,-2.68,-0.70
-63.53,-2.64,-0.65
-63.84,-2.73,-0.66
-64.12,-2.79,-0.65
-64.24,-2.73,-0.60
-64.30,-2.62,-0.52
-64.54,-2.64,-0.51
-64.55,-2.50,-0.42
-64.61,-2.39,-0.35
-64.37,-2.06,-0.19
-64.28,-1.85,-0.09
-63.75,-1.33,0.15
-63.18,-0.78,0.38
-62.80,-0.40,0.53
-62.58,-0.15,0.62
-62.21,0.20,0.75
-62.00,0.41,0.80
-61.62,0.74,0.91
-61.47,0.89,0.94
-61.36,0.99,0.94
-61.25,1.10,0.94
-61.12,1.20,0.94
-61.30,1.07,0.84
-61.67,0.80,0.68
-61.96,0.59,0.56
-62.03,0.55,0.51
-62.22,0.42,0.43
-62.41,0.29,0.35
-62.39,0.32,0.35
-62.50,0.24,0.30
-62.86,-0.01,0.18
-63.06,-0.14,0.11
-62.01,0.66,0.46
-62.18,0.53,0.38
-62.34,0.41,0.31
-62.62,0.20,0.20
-62.91,-0.01,0.10
-63.32,-0.30,-0.04
-63.60,-0.49,-0.12
-63.62,-0.48,-0.11
-63.71,-0.52,-0.12
-63.85,-0.59,-0.15
-63.86,-0.57,-0.13
-63.99,-0.64,-0.15
-63.96,-0.58,-0.12
-64.10,-0.65,-0.14
-64.14,-0.64,-0.14
-64.26,-0.70,-0.15
-64.23,-0.64,-0.12
-64.14,-0.53,-0.07
-64.03,-0.42,-0.01
-63.86,-0.26,0.06
-63.78,-0.17,0.09
-63.68,-0.08,0.13
-63.57,0.02,0.17
-63.63,-0.00,0.15
-63.67,-0.02,0.14
-63.50,0.12,0.19
-61.72,1.41,0.68
-62.21,1.04,0.50
-61.72,1.35,0.61
-61.31,1.60,0.68
-61.30,1.56,0.64
-61.17,1.60,0.63
-61.14,1.57,0.58
-60.71,1.81,0.66
-60.50,1.89,0.67
-60.62,1.73,0.57
-60.52,1.73,0.54
-60.47,1.70,0.50
-60.31,1.73,0.49
-60.06,1.83,0.51
-59.48,2.16,0.64
-59.16,2.30,0.67
-59.39,2.01,0.51
-59.39,1.91,0.44
-59.55,1.68,0.32
-59.52,1.61,0.27
-59.57,1.47,0.20
-60.02,1.03,-0.01
-60.37,0.69,-0.16
-60.36,0.62,-0.18
-60.23,0.66,-0.16
-60.41,0.45,-0.24
-60.23,0.53,-0.20
-60.31,0.40,-0.24
-60.27,0.38,-0.24
-60.35,0.26,-0.28
-60.31,0.25,-0.28
-60.12,0.34,-0.22
-59.97,0.40,-0.18
-59.94,0.37,-0.19
-59.99,0.29,-0.22
-60.07,0.19,-0.25
-60.17,0.07,-0.29
-60.45,-0.18,-0.39
-60.46,-0.21,-0.38
-60.42,-0.20,-0.36
-60.28,-0.12,-0.31
-60.41,-0.24,-0.34
-60.41,-0.25,-0.34
-60.58,-0.39,-0.38
-60.62,-0.43,-0.38
-60.92,-0.65,-0.46
-61.16,-0.83,-0.52
-61.52,-1.08,-0.61
-61.53,-1.07,-0.57
-61.57,-1.07,-0.55
-61.70,-1.14,-0.55
-61.88,-1.24,-0.57
-61.78,-1.13,-0.49
-61.80,-1.11,-0.46
-61.84,-1.09,-0.43
-61.43,-0.75,-0.26
-61.50,-0.77,-0.26
-61.61,-0.81,-0.27
-61.59,-0.76,-0.23
-61.78,-0.87,-0.27
-61.95,-0.96,-0.29
-61.92,-0.89,-0.25
-61.66,-0.65,-0.13
-61.68,-0.63,-0.12
-61.55,-0.49,-0.05
-61.57,-0.48,-0.04
-61.51,-0.40,-0.00
-61.58,-0.42,-0.01
-61.57,-0.38,0.01
-61.68,-0.44,-0.02
-61.64,-0.37,0.01
-61.48,-0.23,0.07
-61.52,-0.23,0.07
-61.36,-0.08,0.13
-61.21,0.05,0.18
-61.30,-0.01,0.15
-61.34,-0.02,0.14
-61.37,-0.02,0.13
-60.93,0.32,0.27
-60.75,0.45,0.32
-60.80,0.41,0.29
-60.86,0.37,0.25
-60.83,0.38,0.25
-60.63,0.52,0.30
-60.77,0.41,0.24
-60.90,0.31,0.18
-60.68,0.46,0.24
-60.55,0.55,0.27
-60.44,0.61,0.28
-60.64,0.45,0.20
-60.68,0.40,0.17
-60.87,0.25,0.09
-60.87,0.24,0.08
-61.07,0.08,0.01
-61.41,-0.18,-0.11
-61.42,-0.18,-0.10
-61.16,0.02,-0.01
-61.00,0.13,0.04
-61.02,0.11,0.03
-61.02,0.11,0.03
-61.19,-0.03,-0.03
-61.18,-0.02,-0.03
-61.36,-0.15,-0.09
-61.55,-0.29,-0.14
-61.66,-0.37,-0.17
-61.84,-0.49,-0.22
-61.74,-0.40,-0.17
-61.64,-0.31,-0.12
-61.95,-0.52,-0.21
-61.96,-0.52,-0.20
-61.96,-0.49,-0.17
-62.02,-0.52,-0.18
-61.99,-0.47,-0.15
-62.27,-0.66,-0.23
-62.26,-0.62,-0.20
-62.31,-0.63,-0.19
-62.43,-0.69,-0.21
-62.52,-0.72,-0.22
-62.54,-0.70,-0.20
-62.39,-0.56,-0.12
-62.45,-0.57,-0.12
-62.35,-0.47,-0.07
-62.31,-0.41,-0.04
-62.43,-0.47,-0.07
-62.26,-0.31,0.01
-62.44,-0.42,-0.04
-62.50,-0.43,-0.05
-62.40,-0.33,0.00
-62.29,-0.23,0.05
-61.92,0.07,0.17
-61.01,0.76,0.47
-59.58,1.80,0.91
-57.81,3.07,1.43
-54.63,5.33,2.37
-51.34,7.59,3.26
-47.12,10.45,4.37
-42.36,13.60,5.56
-36.69,17.31,6.95
-33.63,19.57,7.95
-29.86,22.27,9.09
-27.55,23.87,9.74
-25.57,25.22,10.28
-22.90,27.09,11.05
-20.23,28.95,11.81
-18.52,30.08,12.25
-14.99,32.39,13.11
-12.92,33.79,13.65
-10.35,35.57,14.39
-8.67,36.67,14.80
-6.89,37.83,15.23
-5.12,38.99,15.67
-3.31,40.18,16.12
-1.04,41.74,16.75
1.02,43.13,17.30
3.14,44.54,17.86
4.57,45.42,18.16
6.55,46.75,18.68
8.54,48.06,19.18
10.06,49.01,19.51
11.97,50.25,19.98
13.81,51.45,20.44
15.74,52.73,20.94
17.72,54.03,21.43
19.57,55.24,21.89
21.49,56.48,22.36
23.38,57.72,22.82
24.97,58.69,23.16
27.04,60.04,23.68
29.02,61.35,24.19
30.99,62.62,24.65
32.54,63.53,24.94
34.48,64.79,25.42
36.50,66.08,25.90
38.32,67.23,26.32
40.29,68.47,26.76
42.24,69.71,27.22
44.15,70.92,27.66
46.15,72.17,28.11
48.08,73.38,28.54
50.10,74.67,29.02
52.20,75.99,29.50
54.24,77.28,29.97
56.41,78.65,30.47
58.38,79.86,30.89
60.45,81.16,31.36
62.53,82.40,31.78
64.53,83.62,32.19
66.75,84.99,32.67
68.83,86.26,33.12
70.96,87.57,33.57
73.07,88.80,33.97
75.13,90.02,34.37
77.29,91.27,34.77
79.40,92.52,35.19
81.54,93.80,35.61
83.84,95.15,36.06
85.87,96.29,36.39
88.10,97.61,36.84
90.24,98.84,37.22
92.46,100.12,37.64
94.69,101.35,37.99
96.84,102.55,38.36
99.00,103.74,38.71
101.35,105.05,39.10
103.52,106.23,39.44
105.80,107.44,39.77
107.93,108.55,40.07
110.05,109.64,40.35
112.18,110.66,40.56
114.17,111.59,40.75
116.35,112.64,40.97
118.41,113.63,41.19
120.50,114.63,41.41
122.75,115.70,41.64
124.72,116.56,41.78
126.94,117.58,41.98
129.04,118.55,42.17
131.11,119.47,42.33
133.35,120.47,42.52
135.42,121.37,42.67
137.49,122.25,42.81
139.62,123.10,42.90
141.69,123.97,43.03
143.88,124.86,43.14
145.91,125.66,43.23
148.12,126.55,43.34
150.26,127.36,43.41
152.21,128.04,43.43
154.32,128.78,43.46
156.35,129.53,43.51
158.34,130.23,43.54
160.37,130.86,43.50
162.36,131.54,43.52
164.48,132.25,43.52
166.57,133.00,43.58
168.56,133.64,43.57
170.67,134.31,43.56
172.61,134.88,43.51
174.69,135.50,43.46
176.61,136.03,43.39
178.56,136.59,43.34
180.73,137.26,43.33
182.71,137.83,43.29
184.64,138.34,43.21
186.60,138.78,43.06
188.47,139.21,42.94
190.49,139.69,42.82
192.44,140.18,42.73
194.32,140.60,42.61
196.32,141.04,42.47
198.10,141.34,42.28
200.07,141.72,42.11
201.95,142.11,41.97
203.83,142.49,41.83
205.80,142.86,41.65
207.60,143.15,41.46
209.52,143.45,41.25
211.38,143.78,41.09
213.22,144.09,40.92
215.29,144.52,40.78
217.04,144.72,40.55
218.69,144.82,40.26
220.54,145.11,40.08
222.31,145.32,39.85
224.30,145.63,39.66
226.03,145.79,39.41
227.85,146.03,39.21
229.76,146.25,38.97
231.51,146.40,38.73
233.36,146.55,38.45
235.10,146.69,38.20
236.85,146.83,37.96
238.79,147.05,37.73
240.58,147.21,37.50
242.39,147.29,37.20
244.14,147.42,36.95
245.85,147.50,36.67
247.75,147.65,36.42
249.33,147.59,36.07
251.05,147.57,35.72
252.74,147.61,35.44
254.37,147.58,35.11
256.10,147.56,34.77
257.85,147.64,34.51
259.08,147.23,33.98
260.50,146.90,33.47
262.00,146.74,33.08
263.34,146.34,32.54
264.87,146.20,32.17
266.46,146.12,31.84
268.21,146.08,31.53
269.77,145.97,31.18
271.25,145.67,30.72
272.83,145.56,30.38
274.12,145.19,29.90
275.86,145.13,29.58
277.44,145.02,29.26
278.87,144.66,28.77
280.44,144.54,28.45
281.70,144.13,27.95
283.16,143.79,27.49
284.83,143.76,27.23
286.18,143.32,26.71
287.40,142.86,26.20
288.70,142.48,25.75
290.09,142.07,25.26
291.40,141.70,24.81
293.01,141.59,24.53
294.34,141.13,24.03
295.92,141.00,23.74
297.27,140.55,23.24
298.51,140.10,22.77
299.82,139.72,22.34
301.22,139.31,21.88
302.42,138.83,21.40
303.77,138.37,20.92
304.98,137.89,20.45
306.15,137.38,19.97
307.58,137.00,19.55
308.69,136.43,19.03
309.98,135.93,18.55
311.09,135.36,18.04
312.25,134.84,17.57
313.54,134.33,17.10
314.70,133.81,16.63
315.93,133.35,16.20
317.18,132.91,15.79
318.35,132.40,15.34
319.71,131.96,14.93
320.92,131.49,14.51
322.09,130.97,14.07
323.44,130.52,13.66
324.60,130.01,13.23
325.54,129.19,12.61
326.48,128.47,12.06
327.71,128.02,11.68
329.08,127.59,11.31
330.08,126.93,10.81
331.33,126.40,10.38
332.42,125.83,9.94
333.39,125.14,9.43
334.40,124.40,8.89
335.32,123.68,8.38
336.30,122.91,7.82
337.19,122.17,7.30
338.04,121.39,6.76
339.07,120.67,6.26
339.99,119.96,5.77
340.86,119.21,5.26
341.92,118.54,4.80
342.75,117.75,4.28
343.76,117.03,3.80
344.67,116.32,3.33
345.56,115.60,2.86
346.53,114.85,2.38
347.42,114.14,1.92
348.47,113.47,1.49
349.48,112.87,1.11
350.45,112.23,0.71
351.51,111.58,0.30
352.40,110.88,-0.12
353.40,110.18,-0.55
354.33,109.52,-0.95
355.25,108.86,-1.35
356.36,108.27,-1.70
357.35,107.67,-2.05
358.37,107.00,-2.44
359.39,106.44,-2.76
360.37,105.84,-3.10
361.49,105.28,-3.42
362.45,104.67,-3.76
363.42,104.08,-4.09
364.58,103.55,-4.37
365.60,103.01,-4.67
366.68,102.42,-4.98
367.65,101.84,-5.29
368.67,101.30,-5.57
369.77,100.74,-5.86
370.78,100.21,-6.13
371.88,99.65,-6.42
372.90,99.13,-6.68
373.89,98.59,-6.95
374.99,98.04,-7.22
375.94,97.46,-7.51
377.05,96.94,-7.76
378.08,96.44,-7.99
379.03,95.88,-8.26
380.07,95.30,-8.54
381.04,94.76,-8.79
382.02,94.23,-9.04
383.03,93.73,-9.26
383.96,93.17,-9.52
384.96,92.58,-9.79
385.93,92.05,-10.02
386.89,91.53,-10.26
387.96,91.01,-10.48
388.96,90.52,-10.68
390.04,90.02,-10.88
391.03,89.53,-11.08
392.07,89.09,-11.25
393.08,88.54,-11.48
394.03,88.03,-11.69
395.12,87.55,-11.87
396.05,87.03,-12.08
397.17,86.59,-12.23
398.27,86.15,-12.38
399.17,85.61,-12.60
400.20,85.10,-12.79
401.24,84.69,-12.93
402.16,84.19,-13.12
403.25,83.74,-13.26
404.19,83.26,-13.43
405.21,82.85,-13.56
406.29,82.42,-13.70
407.30,82.01,-13.82
408.38,81.59,-13.95
409.32,81.12,-14.11
410.24,80.64,-14.27
411.19,80.11,-14.46
412.13,79.65,-14.61
413.22,79.26,-14.70
414.16,78.81,-14.84
415.14,78.41,-14.95
416.19,77.99,-15.07
417.16,77.58,-15.18
418.21,77.17,-15.28
419.15,76.74,-15.40
420.08,76.32,-15.52
421.15,75.94,-15.61
422.06,75.50,-15.73
423.09,75.08,-15.83
424.00,74.66,-15.95
424.95,74.26,-16.04
425.90,73.79,-16.18
426.83,73.40,-16.27
427.74,72.98,-16.37
428.81,72.64,-16.43
429.78,72.28,-16.50
430.69,71.79,-16.63
431.59,71.39,-16.73
432.50,71.00,-16.81
433.52,70.62,-16.88
434.47,70.27,-16.94
435.43,69.86,-17.03
436.27,69.41,-17.15
437.14,69.00,-17.24
438.09,68.59,-17.32
439.00,68.23,-17.39
439.99,67.86,-17.44
440.87,67.48,-17.52
441.73,67.08,-17.60
442.67,66.68,-17.67
443.53,66.29,-17.75
444.37,65.88,-17.84
445.25,65.52,-17.89
446.13,65.17,-17.95
447.06,64.78,-18.01
447.89,64.39,-18.08
448.76,64.03,-18.14
449.71,63.67,-18.18
450.58,63.32,-18.23
451.52,62.97,-18.26
452.42,62.65,-18.29
453.33,62.36,-18.30
454.26,62.00,-18.34
455.14,61.69,-18.36
456.12,61.39,-18.37
456.96,61.04,-18.41
457.82,60.72,-18.44
458.75,60.39,-18.46
459.62,60.08,-18.48
460.51,59.72,-18.52
461.40,59.45,-18.52
462.26,59.14,-18.54
463.20,58.83,-18.54
464.12,58.59,-18.52
464.89,58.22,-18.58
465.80,57.91,-18.59
466.63,57.59,-18.61
467.58,57.32,-18.59
468.49,57.09,-18.56
469.30,56.77,-18.59
470.23,56.50,-18.58
471.14,56.27,-18.54
472.10,56.04,-18.50
472.95,55.77,-18.50
473.78,55.49,-18.50
474.65,55.17,-18.51
475.53,54.95,-18.48
476.38,54.63,-18.50
477.20,54.35,-18.50
478.01,54.07,-18.50
478.88,53.79,-18.49
479.76,53.57,-18.45
480.62,53.29,-18.44
481.50,53.09,-18.40
482.36,52.87,-18.36
483.28,52.64,-18.32
484.07,52.37,-18.32
484.84,52.08,-18.33
485.70,51.81,-18.31
486.50,51.56,-18.30
487.33,51.28,-18.29
488.13,51.03,-18.27
488.90,50.76,-18.27
489.83,50.58,-18.21
490.63,50.35,-18.18
491.40,50.02,-18.20
492.19,49.79,-18.17
492.95,49.53,-18.17
493.80,49.29,-18.13
494.62,49.09,-18.09
495.38,48.78,-18.10
496.14,48.54,-18.09
496.92,48.32,-18.06
497.76,48.08,-18.02
498.56,47.89,-17.97
499.35,47.69,-17.93
500.07,47.42,-17.93
500.84,47.21,-17.90
501.59,46.92,-17.90
502.38,46.73,-17.85
503.16,46.54,-17.80
504.00,46.34,-17.75
504.79,46.16,-17.70
505.61,45.95,-17.65
506.39,45.77,-17.60
507.25,45.67,-17.50
508.05,45.44,-17.47
508.72,45.18,-17.47
509.54,44.99,-17.41
510.36,44.86,-17.33
511.10,44.66,-17.29
511.86,44.42,-17.27
512.66,44.29,-17.19
513.44,44.08,-17.15
514.18,43.89,-17.11
514.90,43.69,-17.07
515.70,43.51,-17.02
516.42,43.32,-16.98
517.13,43.12,-16.94
517.91,42.93,-16.89
518.68,42.79,-16.82
519.40,42.56,-16.80
520.04,42.31,-16.80
520.77,42.15,-16.74
521.52,41.94,-16.70
522.25,41.79,-16.65
523.00,41.60,-16.60
523.68,41.40,-16.57
524.36,41.21,-16.53
525.12,41.04,-16.48
525.82,40.86,-16.43
526.60,40.71,-16.36
527.31,40.56,-16.30
528.01,40.40,-16.25
528.77,40.24,-16.19
529.47,40.08,-16.14
530.13,39.85,-16.12
530.78,39.66,-16.09
531.48,39.51,-16.03
532.19,39.33,-15.99
532.91,39.20,-15.92
533.64,39.09,-15.84
534.30,38.87,-15.82
535.04,38.77,-15.73
535.74,38.60,-15.68
536.41,38.45,-15.63
537.05,38.27,-15.60
537.77,38.11,-15.54
538.45,37.98,-15.48
539.10,37.77,-15.45
539.74,37.61,-15.41
540.43,37.49,-15.34
541.11,37.32,-15.30
541.78,37.19,-15.23
542.47,37.03,-15.18
543.03,36.81,-15.18
543.66,36.66,-15.13
544.36,36.51,-15.07
544.99,36.36,-15.02
545.62,36.22,-14.97
546.32,36.13,-14.89
546.98,36.02,-14.82
547.67,35.88,-14.76
548.32,35.76,-14.70
548.99,35.66,-14.62
549.69,35.55,-14.55
550.34,35.44,-14.48
551.01,35.30,-14.42
551.68,35.16,-14.37
552.29,35.07,-14.30
552.93,34.91,-14.25
553.55,34.79,-14.20
554.17,34.62,-14.16
554.81,34.51,-14.10
555.38,34.35,-14.07
555.98,34.17,-14.04
556.60,34.06,-13.98
557.21,33.90,-13.94
557.80,33.76,-13.90
558.33,33.58,-13.88
558.91,33.39,-13.86
559.47,33.24,-13.82
560.04,33.09,-13.79
560.67,32.97,-13.73
561.23,32.83,-13.69
561.81,32.66,-13.66
562.38,32.52,-13.61
562.93,32.37,-13.58
563.50,32.21,-13.55
564.04,32.06,-13.52
564.64,31.92,-13.47
565.20,31.79,-13.42
565.76,31.66,-13.38
566.33,31.50,-13.34
566.86,31.36,-13.30
567.47,31.25,-13.25
567.99,31.09,-13.22
568.54,30.97,-13.17
569.04,30.76,-13.17
569.56,30.63,-13.13
570.14,30.50,-13.08
570.66,30.36,-13.05
571.23,30.26,-12.99
571.80,30.14,-12.93
572.36,30.04,-12.87
572.92,29.94,-12.82
573.49,29.83,-12.76
574.00,29.69,-12.73
574.52,29.52,-12.70
575.02,29.39,-12.67
575.56,29.28,-12.62
576.08,29.14,-12.58
576.54,28.96,-12.57
577.11,28.86,-12.51
577.59,28.72,-12.48
578.13,28.63,-12.42
578.69,28.52,-12.37
579.15,28.37,-12.35
579.70,28.25,-12.30
580.21,28.15,-12.25
580.68,28.02,-12.22
581.20,27.89,-12.18
581.73,27.80,-12.11
582.20,27.67,-12.09
582.70,27.56,-12.04
583.14,27.41,-12.02
583.65,27.28,-11.98
584.08,27.12,-11.97
584.51,26.96,-11.96
584.96,26.79,-11.94
585.40,26.64,-11.93
585.90,26.52,-11.88
586.38,26.42,-11.84
586.85,26.31,-11.79
587.33,26.18,-11.76
587.77,26.04,-11.74
588.23,25.89,-11.71
588.68,25.78,-11.67
589.14,25.67,-11.63
589.57,25.49,-11.62
590.02,25.39,-11.58
590.51,25.28,-11.54
590.93,25.14,-11.52
591.37,25.02,-11.48
591.81,24.88,-11.46
592.20,24.72,-11.45
592.61,24.59,-11.42
593.09,24.49,-11.37
593.47,24.33,-11.37
593.90,24.18,-11.35
594.33,24.07,-11.30
594.77,23.97,-11.26
595.16,23.80,-11.26
595.58,23.69,-11.22
596.00,23.55,-11.20
596.38,23.40,-11.18
596.78,23.28,-11.16
597.18,23.13,-11.14
597.62,23.05,-11.09
598.07,22.94,-11.04
598.45,22.81,-11.02
598.83,22.68,-11.00
599.22,22.53,-10.98
599.58,22.38,-10.97
599.92,22.20,-10.98
600.23,22.02,-10.99
600.60,21.88,-10.97
600.99,21.75,-10.94
601.35,21.62,-10.92
601.72,21.49,-10.90
602.04,21.30,-10.91
602.40,21.17,-10.89
602.76,21.01,-10.88
603.05,20.83,-10.89
603.41,20.71,-10.87
603.75,20.55,-10.86
604.07,20.40,-10.85
604.40,20.22,-10.85
604.71,20.07,-10.84
605.02,19.92,-10.84
605.39,19.79,-10.81
605.72,19.66,-10.79
606.07,19.52,-10.77
606.33,19.33,-10.79
606.63,19.17,-10.78
606.92,18.99,-10.79
607.23,18.86,-10.77
607.54,18.72,-10.76
607.87,18.60,-10.73
608.23,18.51,-10.69
608.54,18.35,-10.68
608.89,18.26,-10.64
609.19,18.13,-10.62
609.49,17.97,-10.61
609.78,17.83,-10.60
610.09,17.69,-10.59
610.39,17.56,-10.57
610.67,17.41,-10.56
610.97,17.26,-10.55
611.24,17.12,-10.54
611.58,17.01,-10.50
611.87,16.89,-10.48
612.13,16.73,-10.48
612.39,16.56,-10.48
612.67,16.43,-10.46
612.93,16.27,-10.46
613.14,16.08,-10.48
613.32,15.86,-10.52
613.62,15.74,-10.49
613.89,15.62,-10.47
614.09,15.43,-10.49
614.38,15.30,-10.46
614.61,15.14,-10.46
614.79,14.92,-10.50
615.03,14.78,-10.49
615.26,14.63,-10.48
615.58,14.54,-10.43
615.81,14.40,-10.43
616.10,14.29,-10.39
616.32,14.13,-10.39
616.53,13.97,-10.39
616.78,13.83,-10.38
617.01,13.71,-10.36
617.22,13.53,-10.37
617.43,13.38,-10.36
617.66,13.25,-10.35
617.83,13.05,-10.37
618.05,12.92,-10.35
618.24,12.74,-10.36
618.47,12.62,-10.34
618.68,12.48,-10.33
618.84,12.28,-10.35
619.07,12.17,-10.32
619.28,12.04,-10.31
619.42,11.83,-10.33
619.62,11.70,-10.32
619.80,11.52,-10.33
619.95,11.35,-10.34
620.12,11.20,-10.34
620.29,11.03,-10.34
620.45,10.87,-10.34
620.63,10.71,-10.34
620.80,10.56,-10.33
620.96,10.41,-10.33
621.10,10.22,-10.35
621.24,10.06,-10.35
621.39,9.88,-10.36
621.53,9.72,-10.36
621.63,9.53,-10.39
621.77,9.35,-10.39
621.92,9.20,-10.39
622.03,9.02,-10.40
622.17,8.87,-10.40
622.29,8.71,-10.40
622.46,8.55,-10.39
622.56,8.38,-10.40
622.70,8.25,-10.39
622.85,8.09,-10.38
623.03,7.99,-10.35
623.16,7.83,-10.35
623.30,7.70,-10.33
623.43,7.56,-10.33
623.56,7.40,-10.32
623.72,7.29,-10.29
623.83,7.12,-10.30
623.95,6.98,-10.29
624.08,6.85,-10.27
624.26,6.75,-10.23
624.37,6.60,-10.23
624.47,6.44,-10.23
624.59,6.30,-10.22
624.72,6.18,-10.20
624.77,5.98,-10.22
624.87,5.83,-10.22
625.04,5.76,-10.17
625.14,5.60,-10.17
625.23,5.46,-10.16
625.28,5.26,-10.18
625.34,5.09,-10.19
625.38,4.91,-10.21
625.46,4.75,-10.21
625.56,4.62,-10.19
625.25,4.12,-10.40
625.36,4.01,-10.37
625.44,3.87,-10.36
625.52,3.72,-10.35
625.63,3.61,-10.32
625.71,3.47,-10.31
625.48,3.07,-10.46
625.51,2.89,-10.48
625.53,2.71,-10.48
625.56,2.54,-10.49
625.61,2.38,-10.48
625.69,2.26,-10.46
625.76,2.14,-10.44
625.86,2.03,-10.40
625.90,1.89,-10.40
625.93,1.73,-10.40
625.98,1.59,-10.38
626.04,1.46,-10.37
626.03,1.27,-10.38
625.95,1.02,-10.44
625.94,0.85,-10.45
626.03,0.76,-10.40
626.09,0.64,-10.37
626.06,0.44,-10.40
626.10,0.32,-10.38
626.14,0.19,-10.36
626.18,0.06,-10.34
626.22,-0.06,-10.32
625.94,-0.47,-10.47
625.59,-0.93,-10.66
625.61,-1.06,-10.64
625.60,-1.23,-10.63
625.61,-1.36,-10.62
625.60,-1.50,-10.61
625.27,-1.94,-10.78
624.94,-2.37,-10.94
624.60,-2.81,-11.11
624.59,-2.95,-11.09
624.28,-3.36,-11.24
624.04,-3.70,-11.34
624.06,-3.80,-11.30
624.05,-3.93,-11.27
624.06,-4.04,-11.23
624.10,-4.12,-11.17
623.81,-4.50,-11.30
623.84,-4.58,-11.24
623.48,-5.02,-11.40
623.15,-5.41,-11.54
623.20,-5.47,-11.47
623.22,-5.55,-11.41
622.89,-5.94,-11.54
622.58,-6.31,-11.66
622.60,-6.38,-11.59
622.26,-6.78,-11.73
621.95,-7.14,-11.84
621.99,-7.19,-11.76
622.00,-7.26,-11.69
621.69,-7.62,-11.80
621.29,-8.05,-11.95
621.23,-8.18,-11.92
621.21,-8.27,-11.86
621.18,-8.35,-11.81
621.19,-8.42,-11.73
621.09,-8.57,-11.71
621.07,-8.65,-11.65
621.05,-8.72,-11.59
621.03,-8.80,-11.52
620.89,-8.98,-11.52
620.85,-9.07,-11.47
620.73,-9.23,-11.46
620.63,-9.36,-11.43
620.56,-9.47,-11.39
620.44,-9.62,-11.37
620.38,-9.72,-11.33
