Time[s]	Pressure[Pa]	Alt[m]	Acc_x[G]	Acc_y[G]	Acc_z[G]	Gyro_x[º/s]	Gyro_y[º/s]	Gyro_z[º/s]	Temp_bme[*C]	Temp_imu[*C]
19.72	101690.21	2.13	-0.09	0.18	-0.99	13.66	9.09	1.04	32.63	34.7
19.75	101690.21	2.13	-0.07	0.18	-1.00	13.72	8.90	1.22	32.63	34.5
19.77	101690.21	2.13	-0.08	0.19	-0.99	12.80	9.94	2.26	32.63	34.7
19.79	101687.09	2.39	-0.08	0.18	-0.98	11.89	11.16	1.65	32.63	34.5
19.82	101687.09	2.39	-0.07	0.19	-0.98	10.73	11.46	2.01	32.63	34.4
19.84	101689.62	2.18	-0.08	0.18	-0.98	9.76	10.91	2.13	32.63	34.6
19.86	101689.65	2.17	-0.08	0.15	-0.99	10.00	10.30	2.68	32.62	34.6
19.89	101689.65	2.17	-0.10	0.18	-0.98	11.28	8.84	2.20	32.63	34.7
19.91	101689.34	2.20	-0.08	0.16	-0.99	12.93	8.90	0.98	32.63	34.7
19.93	101688.19	2.30	-0.10	0.18	-1.00	13.66	7.87	3.05	32.62	34.4
19.96	101688.19	2.05	-0.07	0.18	-1.01	14.45	6.34	2.26	32.62	34.7
19.98	101691.20	2.05	-0.10	0.20	-1.00	13.96	5.73	1.59	32.62	34.6
20.00	101689.30	2.20	-0.08	0.19	-0.99	13.11	4.88	3.17	32.62	34.9
20.03	101689.30	2.20	-0.07	0.16	-0.98	12.38	5.43	3.23	32.62	34.6
20.05	101687.84	2.32	-0.09	0.19	-1.00	12.32	6.52	3.66	32.62	34.6
20.07	101689.52	2.19	-0.07	0.18	-0.98	10.85	8.60	2.07	32.63	34.7
20.10	101689.52	2.19	-0.09	0.18	-1.00	10.37	9.51	3.17	32.63	34.9
20.12	101688.19	2.30	-0.08	0.18	-0.99	9.51	10.30	4.39	32.62	34.6
20.14	101687.91	2.32	-0.09	0.18	-1.01	9.57	10.43	2.93	32.62	34.5
20.17	101687.91	2.32	-0.09	0.19	-1.00	9.88	10.30	4.33	32.62	34.5
20.19	101687.91	2.32	-0.10	0.18	-1.00	9.76	10.43	2.32	32.62	34.7
20.22	101689.92	2.15	-0.09	0.16	-1.00	10.61	10.18	3.54	32.62	34.6
20.24	101689.92	2.15	-0.09	0.18	-1.00	12.07	9.88	2.68	32.62	34.6
20.26	101687.31	2.37	-0.10	0.18	-1.00	12.44	9.82	2.26	32.62	34.5
20.29	101689.05	2.22	-0.09	0.19	-1.00	12.80	8.60	2.01	32.62	34.6
20.31	101689.05	2.22	-0.09	0.18	-1.00	13.48	7.87	2.74	32.62	34.7
20.33	101689.05	2.22	-0.08	0.20	-1.00	14.09	8.78	1.65	32.62	34.7
20.36	101687.84	2.32	-0.10	0.17	-0.99	14.39	8.78	2.38	32.62	34.6
20.38	101687.84	2.32	-0.10	0.18	-0.98	14.76	8.23	2.44	32.62	34.7
20.40	101688.36	2.28	-0.08	0.17	-0.99	14.88	8.41	1.28	32.62	34.6
20.42	101688.36	2.28	-0.09	0.20	-0.99	13.66	8.84	2.62	32.61	34.7
20.45	101688.43	2.28	-0.08	0.19	-1.00	11.77	9.21	2.50	32.61	34.5
20.47	101690.27	2.12	-0.09	0.19	-1.00	10.79	9.45	2.38	32.62	34.6
20.49	101690.27	2.12	-0.09	0.18	-1.01	10.73	9.70	1.65	32.62	34.6
20.52	101690.17	2.13	-0.10	0.18	-1.00	11.16	10.18	2.62	32.62	34.6
20.54	101687.31	2.37	-0.10	0.18	-0.99	11.65	11.04	1.04	32.62	34.4
20.56	101687.31	2.37	-0.08	0.15	-0.97	12.80	12.01	0.24	32.62	34.7
20.59	101687.67	2.34	-0.10	0.18	-1.00	13.84	11.40	0.30	32.62	34.6
20.61	101686.20	2.46	-0.08	0.18	-0.99	13.78	11.16	0.85	32.60	34.5
20.63	101686.20	2.46	-0.11	0.18	-1.00	13.84	10.43	1.10	32.60	34.6
20.66	101688.26	2.29	-0.08	0.18	-1.00	14.51	9.09	0.98	32.61	34.6
20.68	101686.45	2.44	-0.09	0.19	-0.99	14.27	8.66	2.32	32.61	34.5
20.70	101686.45	2.44	-0.08	0.19	-0.99	13.96	9.02	1.34	32.61	34.5
20.73	101688.88	2.24	-0.08	0.16	-0.97	12.99	8.96	1.22	32.62	34.7
20.75	101688.88	2.24	-0.08	0.18	-0.98	12.87	8.78	1.22	32.62	34.7
20.77	101688.88	2.24	-0.07	0.19	-0.97	12.20	9.21	0.49	32.62	34.6
20.79	101693.05	1.89	-0.07	0.18	-0.98	11.46	10.24	1.28	32.61	34.5
20.82	101689.65	2.17	-0.08	0.18	-1.00	10.98	10.12	2.99	32.61	34.6
20.84	101689.65	2.17	-0.09	0.19	-1.02	10.91	9.57	2.80	32.61	34.5
20.87	101690.52	2.10	-0.07	0.18	-1.00	10.49	9.51	3.72	32.62	34.5
20.89	101687.73	2.33	-0.08	0.17	-1.01	10.79	9.70	3.90	32.61	34.5
20.91	101687.73	2.33	-0.09	0.17	-1.00	11.28	9.70	3.05	32.61	34.7
20.93	101688.70	2.25	-0.10	0.17	-1.00	11.95	9.15	1.46	32.61	34.5
20.96	101688.70	2.25	-0.07	0.18	-1.00	12.56	8.96	1.52	32.61	34.5
20.98	101688.53	2.27	-0.07	0.18	-1.00	13.05	9.09	2.50	32.61	34.5
21.01	101689.41	2.20	-0.09	0.19	-1.02	13.48	8.23	2.93	32.61	34.6
21.03	101693.22	1.88	-0.08	0.19	-1.01	13.90	7.32	1.89	32.62	34.6
21.06	101693.22	1.88	-0.07	0.16	-0.99	14.27	7.62	2.50	32.62	34.6
21.08	101692.52	1.94	-0.08	0.18	-0.99	14.33	7.93	3.66	32.62	34.7
21.10	101690.86	2.07	-0.07	0.16	-1.00	14.88	8.84	4.63	32.61	34.8
21.13	101690.86	2.07	-0.10	0.19	-0.99	14.45	8.84	3.72	32.61	34.4
21.15	101691.66	2.01	-0.08	0.18	-1.00	14.63	9.57	0.91	32.61	34.6
21.17	101691.66	2.01	-0.09	0.20	-1.00	13.60	9.63	2.01	32.61	34.5
21.20	101693.05	1.89	-0.07	0.18	-1.00	12.99	11.34	0.79	32.61	34.6
21.22	101693.05	1.89	-0.07	0.18	-0.98	12.01	11.34	1.77	32.61	34.7
21.24	101693.05	1.89	-0.09	0.17	-0.99	11.71	10.61	1.65	32.61	34.8
21.26	101690.34	2.12	-0.08	0.16	-0.98	11.65	10.24	1.34	32.61	34.5
21.29	101691.03	2.06	-0.10	0.16	-0.98	12.44	9.39	1.52	32.61	34.4
21.31	101691.03	2.06	-0.09	0.16	-0.98	12.99	8.90	0.73	32.61	34.5
21.33	101688.02	2.31	-0.07	0.20	-1.00	12.56	8.78	0.00	32.61	34.7
21.35	101687.34	2.37	-0.07	0.19	-0.99	11.89	8.60	0.18	32.60	34.6
21.38	101687.34	2.37	-0.09	0.14	-0.97	10.98	7.68	3.23	32.60	34.4
21.40	101689.33	2.20	-0.09	0.15	-0.99	11.83	7.13	1.89	32.60	34.6
21.42	101692.34	1.95	-0.08	0.18	-0.99	12.87	7.44	1.95	32.61	34.8
21.45	101692.34	1.95	-0.08	0.15	-0.98	13.23	7.32	2.74	32.61	34.5
21.47	101689.23	2.21	-0.10	0.18	-1.00	13.60	7.26	2.26	32.61	34.6
21.49	101689.23	2.21	-0.08	0.17	-1.02	13.66	7.32	1.40	32.61	34.6
21.52	101690.96	2.07	-0.10	0.20	-1.01	13.41	8.11	-0.61	32.61	34.6
21.54	101685.93	2.48	-0.07	0.17	-0.99	13.29	9.02	-1.04	32.61	34.7
21.56	101685.93	2.48	-0.09	0.17	-1.01	13.29	9.76	-1.34	32.61	34.8
21.59	101688.19	2.30	-0.05	0.20	-1.02	12.99	10.91	-1.16	32.61	34.6
21.61	101686.13	2.47	-0.09	0.19	-1.03	11.95	9.94	1.46	32.60	34.6
21.63	101686.13	2.47	-0.07	0.18	-0.99	11.83	8.66	2.26	32.61	34.6
21.66	101688.19	2.30	-0.08	0.16	-0.97	12.07	8.54	0.30	32.61	34.5
21.68	101691.73	2.00	-0.08	0.15	-0.97	13.05	8.72	0.18	32.61	34.7
21.70	101691.73	2.00	-0.08	0.16	-0.99	13.48	7.93	3.60	32.61	34.4
21.73	101689.84	2.16	-0.08	0.18	-1.01	14.27	7.07	3.60	32.60	34.6
21.75	101689.92	2.15	-0.08	0.18	-1.00	14.70	6.95	3.35	32.61	34.7
21.77	101689.92	2.15	-0.09	0.17	-1.01	15.18	6.77	4.09	32.61	34.6
21.79	101691.66	2.01	-0.11	0.18	-1.00	15.30	6.59	4.76	32.61	34.7
21.82	101691.66	2.16	-0.09	0.16	-0.99	15.30	6.52	4.63	32.60	34.6
21.84	101689.84	2.16	-0.08	0.17	-0.99	14.51	7.07	3.54	32.60	34.7
21.86	101689.84	2.16	-0.10	0.19	-0.99	13.48	9.45	0.37	32.60	34.4
21.88	101689.84	2.16	-0.11	0.17	-1.01	11.95	9.51	-0.49	32.61	34.6
21.91	101688.36	2.28	-0.09	0.17	-1.00	12.07	10.12	0.61	32.61	34.7
21.93	101688.56	2.26	-0.08	0.16	-1.00	10.61	11.83	2.13	32.60	34.6
21.96	101688.56	2.33	-0.10	0.14	-1.00	10.43	12.32	5.06	32.61	34.5
21.98	101687.84	2.33	-0.14	0.12	-1.00	12.38	11.52	2.26	32.61	34.6
22.00	101684.92	2.57	-0.11	0.13	-0.99	14.21	11.34	0.43	32.60	34.6
22.02	101684.92	2.57	-0.09	0.17	-0.99	15.00	12.07	-1.71	32.60	34.7
22.05	101687.17	2.38	-0.10	0.17	-1.00	14.70	12.38	-1.59	32.60	34.6
22.07	101687.07	2.39	-0.10	0.17	-1.00	14.57	11.52	-0.85	32.60	34.6
22.10	101687.07	2.39	-0.07	0.20	-0.99	12.62	11.04	-1.59	32.61	34.6
22.12	101690.09	2.14	-0.05	0.21	-0.99	9.94	11.34	-3.41	32.61	34.7
22.14	101686.48	2.44	-0.07	0.18	-0.99	8.17	9.82	0.55	32.60	34.6
22.17	101686.48	2.44	-0.08	0.15	-0.97	7.99	9.02	1.65	32.60	34.5
22.19	101687.00	2.39	-0.07	0.16	-0.97	9.02	8.84	3.17	32.60	34.7
22.21	101689.08	2.22	-0.08	0.16	-1.01	10.00	8.17	3.72	32.60	34.7
22.24	101689.08	2.22	-0.13	0.15	-1.01	12.20	5.73	5.61	32.60	34.6
22.26	101688.64	2.26	-0.11	0.13	-0.99	15.30	3.84	4.02	32.60	34.5
22.29	101688.46	2.27	-0.09	0.15	-1.00	17.99	4.94	0.49	32.60	34.5
22.31	101688.46	2.27	-0.09	0.17	-1.01	18.90	5.98	-0.49	32.60	34.7
22.33	101687.17	2.38	-0.09	0.20	-1.02	17.74	6.83	0.43	32.60	34.5
22.35	101688.39	2.28	-0.07	0.21	-1.01	15.49	7.74	0.67	32.60	34.6
22.38	101688.39	2.28	-0.07	0.19	-1.00	12.93	9.39	1.10	32.60	34.5
22.40	101687.27	2.37	-0.08	0.16	-0.99	12.01	10.49	1.22	32.59	34.5
22.42	101687.27	2.36	-0.08	0.16	-0.99	11.10	11.40	-0.30	32.60	34.6
22.45	101688.98	2.23	-0.09	0.14	-0.99	10.85	11.04	1.71	32.60	34.7
22.47	101689.53	2.18	-0.10	0.14	-1.00	11.59	9.33	2.56	32.59	34.4
22.49	101689.53	2.18	-0.11	0.13	-0.99	13.11	8.41	2.13	32.61	34.6
22.51	101690.09	2.14	-0.08	0.15	-0.98	14.63	7.38	2.07	32.61	34.6
22.54	101689.33	2.20	-0.09	0.16	-0.98	15.24	7.20	1.34	32.60	34.5
22.56	101689.33	2.20	-0.07	0.18	-0.98	14.82	5.73	0.98	32.60	34.5
22.58	101685.98	2.48	-0.10	0.17	-0.99	12.93	5.24	4.39	32.59	34.8
22.60	101687.52	2.35	-0.10	0.17	-0.98	12.56	4.57	6.34	32.60	34.5
22.63	101687.52	2.35	-0.09	0.16	-0.99	12.87	5.49	4.15	32.60	34.6
22.65	101691.86	1.99	-0.09	0.15	-1.00	13.05	7.74	3.78	32.60	34.6
22.68	101690.16	2.13	-0.10	0.15	-0.99	13.11	9.76	1.46	32.59	34.3
22.70	101690.16	2.13	-0.10	0.15	-1.00	13.29	9.82	-0.43	32.59	34.4
22.72	101689.95	2.15	-0.07	0.18	-1.02	12.62	9.94	-2.20	32.60	34.6
22.74	101689.16	2.22	-0.08	0.18	-1.02	11.04	10.24	-0.67	32.60	34.6
22.77	101689.16	2.22	-0.10	0.17	-1.03	10.18	9.39	0.67	32.60	34.6
22.80	101691.16	2.05	-0.10	0.15	-1.02	10.98	8.41	5.43	32.60	34.6
22.82	101691.34	2.04	-0.10	0.15	-1.01	12.62	9.33	2.50	32.60	34.5
22.84	101691.34	2.04	-0.10	0.14	-1.01	14.27	10.12	-0.12	32.60	34.6
22.86	101689.53	2.18	-0.10	0.13	-1.00	15.49	10.18	1.04	32.59	34.5
22.89	101689.88	2.16	-0.10	0.15	-0.99	16.46	9.45	1.16	32.59	34.5
22.91	101689.88	2.16	-0.09	0.17	-0.97	16.04	9.51	0.24	32.59	34.5
22.93	101688.94	2.23	-0.09	0.16	-0.98	14.70	9.51	4.21	32.59	34.4
22.96	101690.12	2.14	-0.08	0.17	-0.99	14.15	9.57	3.41	32.60	34.7
22.98	101690.12	2.14	-0.08	0.15	-0.99	13.48	10.67	2.07	32.60	34.6
23.01	101691.51	2.02	-0.09	0.15	-0.99	13.41	10.49	3.23	32.60	34.4
23.03	101689.19	2.21	-0.09	0.15	-1.00	12.93	11.22	1.89	32.59	34.7
23.05	101689.19	2.21	-0.10	0.17	-1.00	12.93	12.26	1.10	32.59	34.4
23.08	101691.51	2.02	-0.08	0.16	-1.00	12.07	12.93	1.04	32.60	34.6
23.10	101687.72	2.33	-0.08	0.15	-1.00	11.71	13.78	-0.55	32.59	34.6
23.12	101687.72	2.33	-0.09	0.13	-1.01	12.07	12.87	1.95	32.59	34.6
23.15	101689.60	2.18	-0.10	0.13	-1.00	12.87	11.34	1.34	32.60	34.5
23.17	101690.98	2.06	-0.10	0.15	-1.01	14.02	9.27	0.37	32.60	34.4
23.20	101690.98	2.06	-0.09	0.13	-0.99	14.51	8.11	0.67	32.60	34.5
23.22	101688.42	2.28	-0.08	0.14	-0.98	14.88	7.87	-0.37	32.59	34.6
23.24	101689.11	2.22	-0.09	0.14	-0.98	14.82	7.74	0.37	32.59	34.7
23.27	101689.11	2.22	-0.10	0.16	-0.99	14.39	7.50	1.95	32.59	34.5
23.29	101690.47	2.11	-0.08	0.15	-0.98	13.54	7.62	2.62	32.60	34.4
23.31	101690.47	2.11	-0.08	0.15	-0.97	13.29	9.27	1.46	32.59	34.6
23.34	101690.40	2.11	-0.08	0.15	-0.97	12.93	10.37	1.52	32.59	34.5
23.36	101689.19	2.21	-0.10	0.16	-1.00	12.13	10.18	2.26	32.59	34.4
23.39	101692.73	1.92	-0.08	0.19	-1.01	11.59	8.78	1.46	32.60	34.6
23.41	101692.73	1.92	-0.07	0.16	-0.99	10.73	9.63	-1.10	32.60	34.5
23.43	101692.23	1.96	-0.10	0.13	-0.98	9.94	10.06	1.22	32.59	34.4
23.46	101693.49	1.86	-0.11	0.13	-0.99	11.16	9.51	1.52	32.60	34.5
23.48	101693.49	1.86	-0.08	0.15	-0.99	12.68	8.35	0.67	32.60	34.6
23.50	101687.90	2.32	-0.09	0.14	-0.99	12.44	7.50	1.52	32.59	34.5
23.53	101688.48	2.27	-0.09	0.13	-0.99	13.66	6.83	2.68	32.59	34.6
23.55	101688.48	2.27	-0.09	0.14	-1.00	14.45	6.52	1.59	32.59	34.5
23.58	101689.19	2.21	-0.08	0.17	-1.00	13.78	7.44	1.40	32.59	34.6
23.60	101691.23	2.04	-0.09	0.18	-1.00	12.32	8.29	0.73	32.60	34.7
23.62	101691.23	2.04	-0.08	0.16	-0.99	10.67	9.51	-1.16	32.60	34.7
23.65	101687.45	2.36	-0.08	0.15	-0.98	10.24	10.43	-0.43	32.59	34.4
23.67	101690.74	2.02	-0.08	0.14	-0.97	9.51	10.49	1.22	32.60	34.6
23.69	101691.51	2.02	-0.09	0.13	-0.98	9.57	10.24	2.44	32.60	34.7
23.72	101688.24	2.29	-0.11	0.12	-0.98	11.22	8.84	1.16	32.59	34.5
23.74	101692.55	1.93	-0.11	0.13	-1.00	12.74	7.38	1.65	32.60	34.6
23.77	101692.55	1.93	-0.09	0.16	-1.01	13.23	6.59	1.40	32.60	34.5
23.79	101689.73	2.17	-0.09	0.15	-1.01	13.35	6.95	0.37	32.58	34.6
23.81	101689.73	2.17	-0.10	0.14	-1.02	13.29	7.56	-1.04	32.60	34.6
23.83	101690.64	2.09	-0.08	0.12	-1.02	14.02	8.11	-0.73	32.60	34.5
23.86	101691.36	2.03	-0.09	0.14	-1.03	14.15	7.99	0.49	32.59	34.7
23.88	101691.36	2.03	-0.09	0.15	-1.02	14.76	8.96	-1.04	32.59	34.5
23.91	101690.92	2.07	-0.10	0.15	-1.02	14.82	9.15	-1.22	32.59	34.5
23.93	101689.36	2.20	-0.09	0.14	-0.99	14.27	9.57	-2.01	32.59	34.5
23.96	101690.92	2.07	-0.07	0.13	-0.98	13.41	10.91	-1.89	32.59	34.5
23.98	101690.92	2.07	-0.08	0.16	-0.99	12.38	11.16	-0.30	32.59	34.6
24.00	101690.84	2.08	-0.09	0.16	-0.97	11.77	10.73	1.10	32.59	34.6
24.03	101690.84	2.08	-0.08	0.16	-0.98	10.61	10.06	2.74	32.59	34.5
24.05	101687.20	2.38	-0.05	0.19	-0.98	9.39	9.57	2.68	32.59	34.5
24.07	101689.80	2.16	-0.06	0.18	-1.00	8.29	10.98	0.61	32.59	34.6
24.10	101689.80	2.16	-0.06	0.15	-0.98	7.80	10.37	2.50	32.59	34.6
24.12	101688.77	2.25	-0.09	0.16	-1.02	8.41	9.15	0.85	32.59	34.6
24.14	101691.54	2.02	-0.07	0.13	-1.01	10.37	8.29	2.38	32.59	34.4
24.17	101691.54	2.02	-0.08	0.13	-1.00	12.62	7.87	3.60	32.59	34.6
24.19	101689.88	2.16	-0.08	0.11	-1.00	14.63	8.35	3.54	32.59	34.6
24.21	101688.59	2.26	-0.07	0.15	-1.00	16.22	8.17	4.02	32.59	34.6
24.24	101688.59	2.26	-0.09	0.17	-1.00	16.04	8.54	3.72	32.59	34.7
24.26	101688.59	2.26	-0.10	0.14	-1.00	15.37	8.05	4.15	32.59	34.4
24.29	101690.12	2.14	-0.06	0.13	-0.99	15.73	8.41	3.17	32.60	34.6
24.31	101690.12	2.14	-0.10	0.14	-0.98	15.55	7.74	5.18	32.60	34.4
24.33	101689.95	2.15	-0.10	0.16	-0.97	14.63	7.87	5.49	32.60	34.6
24.35	101692.03	1.98	-0.09	0.14	-0.98	13.84	7.80	3.48	32.60	34.4
24.38	101692.03	1.98	-0.08	0.13	-0.99	13.96	8.72	1.71	32.60	34.4
24.40	101691.41	2.03	-0.09	0.15	-0.99	13.05	9.09	2.50	32.60	34.7
24.42	101690.37	2.18	-0.10	0.14	-1.00	11.77	9.63	2.74	32.60	34.5
24.45	101689.60	2.18	-0.10	0.14	-1.00	11.16	9.21	2.13	32.60	34.7
24.47	101690.64	2.09	-0.08	0.14	-1.01	11.22	9.88	2.56	32.60	34.5
24.49	101691.16	2.05	-0.11	0.14	-1.00	10.79	9.76	1.28	32.60	34.5
24.52	101691.16	2.05	-0.10	0.13	-1.00	11.10	9.76	1.28	32.60	34.4
24.54	101691.36	2.03	-0.08	0.13	-1.00	12.20	10.12	1.34	32.59	34.7
24.56	101691.36	2.03	-0.09	0.15	-1.01	12.13	10.37	0.24	32.60	34.7
24.58	101691.51	2.02	-0.08	0.14	-1.01	12.20	10.37	0.18	32.60	34.6
24.61	101689.98	2.15	-0.10	0.14	-1.01	12.01	8.90	1.40	32.59	34.5
24.63	101689.98	2.15	-0.10	0.15	-1.01	11.83	7.87	1.71	32.59	34.5
24.66	101689.80	2.16	-0.08	0.12	-0.99	12.80	8.23	1.22	32.59	34.6
24.68	101693.59	1.85	-0.08	0.15	-0.99	13.41	9.88	0.79	32.60	34.5
24.70	101693.59	1.85	-0.10	0.15	-0.99	13.54	10.06	0.49	32.60	34.5
24.73	101692.03	1.98	-0.09	0.13	-0.97	13.96	10.06	0.24	32.60	34.4
24.75	101691.79	2.00	-0.08	0.16	-0.98	12.99	10.61	1.46	32.59	34.6
24.77	101691.79	2.00	-0.08	0.15	-0.99	12.20	10.79	2.50	32.60	34.6
24.80	101691.16	2.05	-0.08	0.15	-1.00	11.28	11.04	0.18	32.60	34.6
24.82	101692.55	1.93	-0.10	0.13	-1.00	11.34	10.37	0.67	32.60	34.4
24.85	101692.55	1.91	-0.08	0.13	-1.00	11.95	8.84	2.44	32.60	34.7
24.87	101692.90	1.91	-0.09	0.13	-1.00	12.38	8.23	2.32	32.60	34.6
24.89	101691.34	2.04	-0.08	0.13	-1.00	12.56	7.38	2.50	32.60	34.6
24.92	101691.34	2.04	-0.11	0.15	-1.00	12.68	6.83	1.71	32.60	34.4
24.94	101690.30	2.12	-0.09	0.15	-1.00	12.99	6.59	0.73	32.60	34.5
24.96	101692.52	1.94	-0.08	0.13	-1.00	12.74	7.44	-0.12	32.61	34.3
24.99	101692.52	1.94	-0.09	0.13	-1.00	12.44	7.87	0.55	32.59	34.7
25.01	101687.97	2.31	-0.09	0.14	-1.00	12.93	8.23	1.04	32.59	34.6
25.04	101689.98	2.15	-0.09	0.14	-1.01	12.32	8.84	1.34	32.59	34.5
25.06	101689.98	2.15	-0.10	0.15	-1.00	12.50	9.57	-0.49	32.59	34.6
25.08	101689.88	2.16	-0.10	0.13	-1.00	13.11	10.24	-0.30	32.59	34.5
25.11	101691.09	2.05	-0.09	0.14	-0.99	13.54	10.49	0.18	32.59	34.5
25.13	101691.09	2.05	-0.08	0.15	-0.99	13.17	10.91	0.67	32.59	34.6
25.15	101687.45	2.36	-0.09	0.13	-0.99	12.93	10.67	-1.16	32.59	34.6
25.18	101689.62	2.18	-0.09	0.13	-0.99	13.78	9.02	-0.67	32.59	34.4
25.20	101689.62	2.18	-0.09	0.13	-0.99	14.39	8.17	0.79	32.59	34.6
25.23	101689.73	2.17	-0.09	0.15	-0.99	14.27	7.68	0.61	32.58	34.5
25.25	101692.75	1.92	-0.09	0.13	-0.99	13.66	7.38	1.04	32.59	34.4
25.27	101692.75	1.92	-0.09	0.15	-0.99	12.87	8.23	0.30	32.59	34.5
25.29	101693.00	1.90	-0.07	0.17	-1.00	10.67	9.02	3.84	32.59	34.4
25.32	101689.80	2.16	-0.08	0.15	-0.99	10.49	10.18	0.37	32.59	34.5
25.34	101689.80	2.16	-0.10	0.11	-1.00	10.61	11.77	-0.49	32.59	34.5
25.36	101691.54	2.02	-0.09	0.11	-0.99	11.95	11.52	-0.55	32.59	34.7
25.39	101692.10	1.97	-0.10	0.12	-1.00	12.68	9.94	0.79	32.60	34.5
25.41	101692.10	1.97	-0.10	0.13	-1.00	13.48	9.15	1.34	32.60	34.5
25.43	101690.22	2.13	-0.09	0.14	-1.01	13.54	8.60	2.44	32.59	34.5
25.45	101690.22	1.88	-0.08	0.14	-1.01	13.41	8.41	-0.24	32.59	34.5
25.48	101693.17	1.88	-0.08	0.15	-1.00	12.32	8.48	-0.06	32.59	34.5
25.50	101693.10	1.89	-0.08	0.15	-1.00	11.83	9.02	0.43	32.59	34.5
25.53	101693.10	1.89	-0.07	0.11	-0.98	11.04	9.21	1.46	32.60	34.6
25.55	101694.63	1.76	-0.09	0.14	-1.00	11.59	8.96	2.99	32.60	34.5
25.57	101691.79	2.00	-0.10	0.14	-1.01	12.01	8.66	1.34	32.59	34.5
25.60	101691.79	2.00	-0.09	0.15	-1.00	11.95	8.84	1.46	32.59	34.5
25.62	101689.62	2.18	-0.09	0.15	-0.99	12.13	9.21	1.46	32.59	34.5
25.64	101690.95	2.07	-0.09	0.16	-1.00	12.50	9.94	1.65	32.58	34.5
25.67	101690.95	2.07	-0.08	0.14	-1.00	12.01	10.73	0.18	32.59	34.6
25.69	101688.59	2.26	-0.08	0.13	-0.98	12.44	10.91	-0.06	32.59	34.6
25.72	101690.33	2.12	-0.08	0.13	-0.99	12.50	10.61	3.05	32.59	34.6
25.74	101691.71	2.00	-0.09	0.15	-0.99	12.38	10.18	2.32	32.59	34.6
25.76	101691.71	2.00	-0.08	0.13	-1.00	12.50	9.70	-0.49	32.59	34.7
25.79	101689.36	2.20	-0.09	0.12	-0.98	12.80	8.72	-0.30	32.59	34.5
25.81	101689.36	2.20	-0.11	0.15	-0.97	12.68	7.38	1.59	32.60	34.5
25.83	101692.03	1.98	-0.09	0.13	-0.99	13.23	6.65	1.65	32.60	34.6
25.86	101687.55	2.35	-0.10	0.16	-0.99	12.44	6.40	2.56	32.59	34.6
25.88	101690.67	2.09	-0.09	0.16	-0.99	11.34	7.44	1.95	32.59	34.4
25.91	101690.67	2.09	-0.11	0.16	-0.97	11.34	8.96	-0.49	32.59	34.8
25.93	101689.01	2.23	-0.06	0.12	-1.01	11.16	9.82	0.61	32.59	34.5
25.95	101689.01	2.23	-0.08	0.14	-0.99	10.67	10.79	1.46	32.59	34.4
25.98	101688.24	2.29	-0.08	0.13	-1.00	10.73	10.49	1.28	32.59	34.6
26.00	101690.20	2.13	-0.10	0.12	-1.01	10.91	9.88	-0.18	32.60	34.6
26.02	101690.20	2.13	-0.09	0.14	-1.00	10.79	9.51	0.24	32.60	34.4
26.05	101689.60	2.18	-0.09	0.15	-1.00	10.43	9.21	0.55	32.60	34.5
26.07	101690.92	2.07	-0.09	0.14	-1.00	11.04	8.84	0.61	32.59	34.4
26.10	101690.92	2.07	-0.09	0.14	-1.01	11.59	8.23	0.30	32.59	34.5
26.12	101691.96	1.98	-0.09	0.13	-0.99	12.13	8.48	0.49	32.59	34.7
26.14	101690.22	2.13	-0.09	0.13	-0.98	12.68	8.84	0.98	32.59	34.5
26.16	101690.22	2.13	-0.08	0.14	-1.00	12.87	9.15	-0.49	32.59	34.4
26.19	101690.98	2.06	-0.08	0.15	-1.00	12.38	9.09	0.79	32.60	34.5
26.21	101687.72	2.33	-0.09	0.14	-0.99	11.77	9.09	0.55	32.59	34.5
26.23	101687.72	2.33	-0.09	0.14	-1.00	11.59	8.96	0.06	32.59	34.6
26.26	101689.53	2.18	-0.08	0.13	-0.99	11.46	8.54	-0.12	32.59	34.6
26.28	101692.97	1.90	-0.10	0.14	-0.99	11.28	8.84	-0.37	32.60	34.6
26.30	101692.97	1.90	-0.10	0.14	-1.00	11.89	8.35	0.30	32.60	34.4
26.33	101689.78	2.16	-0.12	0.13	-1.02	13.11	7.38	0.24	32.60	34.4
26.35	101690.22	2.13	-0.12	0.13	-1.02	14.39	5.37	0.37	32.59	34.6
26.37	101690.22	2.13	-0.10	0.13	-1.01	15.49	4.15	-0.91	32.59	34.5
26.40	101690.50	2.10	-0.09	0.13	-1.00	15.85	4.82	-3.41	32.59	34.6
26.42	101687.03	2.39	-0.10	0.15	-1.00	14.21	5.91	-3.11	32.59	34.6
26.45	101687.03	2.39	-0.09	0.16	-1.00	12.38	5.85	-1.65	32.59	34.6
26.47	101691.79	2.00	-0.09	0.14	-1.00	11.59	6.52	-0.73	32.59	34.5
26.49	101692.12	1.97	-0.09	0.13	-0.98	11.22	8.78	-1.22	32.59	34.7
26.52	101692.12	1.97	-0.11	0.13	-0.99	10.98	10.24	0.18	32.59	34.5
26.54	101690.16	2.13	-0.12	0.12	-1.00	12.13	9.82	-0.37	32.59	34.4
26.56	101692.73	1.92	-0.10	0.12	-0.99	13.35	9.45	-1.89	32.60	34.6
26.59	101692.73	1.92	-0.08	0.15	-1.00	13.84	9.94	-2.93	32.60	34.5
